City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
208,shirokiy,49.758,129.523,244.37,97,11,2.55,RU
209,tamandare,-8.7597,-35.1047,299.3,77,19,2.99,BR
210,brae,60.3964,-1.353,278.25,64,100,6.19,GB
211,ostrovnoy,68.0531,39.5131,264.85,92,96,8.52,RU
212,sonegaon,20.65,78.6833,290.66,29,4,3.24,IN
213,port-gentil,-0.7193,8.7815,301.13,83,40,3.09,GA
214,polur,12.5,79.1333,294.56,84,100,2.24,IN
215,nisia floresta,-6.0911,-35.2086,300.6,76,25,3.42,BR
216,monte carmelo,-18.7247,-47.4986,294.57,81,100,1.8,BR
217,viedma,-40.8135,-62.9967,296.87,45,25,8.08,AR
218,urdoma,61.7533,48.5442,269.33,95,100,3.09,RU
219,lebu,-37.6167,-73.65,288.66,75,0,9.84,CL
220,chokurdakh,70.6333,147.9167,248.88,98,100,0.87,RU
221,weihai,37.5017,122.1136,271.89,45,100,6.85,CN
222,hambantota,6.1241,81.1185,297.52,90,100,2.57,LK
223,flinders,-34.5833,150.8552,297.25,80,6,3.13,AU
224,ulaangom,49.9811,92.0667,247.0,95,98,0.84,MN
225,faanui,-16.4833,-151.75,300.91,73,76,8.46,PF
226,torres,-29.3353,-49.7269,299.16,84,11,1.52,BR
227,saint-francois,46.4154,3.9054,277.84,80,100,2.06,FR
228,sal rei,16.1833,-22.9167,293.9,73,83,9.03,CV
229,karratha,-20.7377,116.8463,302.26,69,6,3.36,AU
230,shenjiamen,29.9576,122.298,280.21,69,100,8.26,CN
231,stromness,58.965,-3.296,278.64,79,100,3.13,GB
232,samarai,-10.6167,150.6667,300.9,80,97,4.65,PG
233,morgantown,39.6295,-79.9559,273.88,62,0,0.0,US
234,madingou,-4.1536,13.55,296.43,90,11,0.35,CG
235,fort william,56.8165,-5.1121,280.54,96,100,2.07,GB
236,santa cruz de tenerife,28.4682,-16.2546,289.05,84,20,3.6,ES
237,cockburn town,21.4612,-71.1419,297.99,76,9,8.0,TC
238,salalah,17.0151,54.0924,297.2,57,75,2.57,OM
239,platanos,37.6667,21.6167,278.75,58,25,1.73,GR
240,hami,42.8,93.45,266.47,71,30,2.01,CN
241,saldanha,-33.0117,17.9442,290.6,88,1,7.37,ZA
242,novosheshminsk,55.0651,51.2338,255.42,90,88,1.99,RU
243,bartica,6.4,-58.6167,298.33,91,74,1.69,GY
244,anjiang,27.3194,110.1031,284.23,48,100,2.02,CN
245,adrar,20.5022,-10.0711,290.89,12,100,4.72,MR
246,ilulissat,69.2167,-51.1,264.16,62,75,10.29,GL
247,qidong,31.8128,121.6561,277.0,67,14,5.65,CN
248,rincon,32.296,-81.2354,299.13,50,75,4.63,US
249,okakarara,-20.5833,17.4333,290.75,93,99,1.86,NA
250,filingue,14.3521,3.3168,299.17,14,86,2.75,NE
